X,Cos(X)
-10.0,-0.8390715413584166
-9.5,-0.9971721561961746
-9.0,-0.9111302624449817
-8.5,-0.6020118887037154
-8.0,-0.1455001416377984
-7.5,0.3466353233673963
-7.0,0.7539022537846641
-6.5,0.9765876247442922
-6.0,0.9601702866597516
-5.5,0.7086697726018851
-5.0,0.2836621992374299
-4.5,-0.21079583901946447
-4.0,-0.653643615480115
-3.5,-0.9364566873914137
-3.0,-0.9899924965681836
-2.5,-0.801143653328589
-2.0,-0.4161466035740069
-1.5,0.07073763770931946
-1.0,0.5403022671007087
-0.5,0.8775825648240586
0.0,1.0
0.5,0.8775825648240586
1.0,0.5403022671007087
1.5,0.07073763770931946
2.0,-0.4161466035740069
2.5,-0.801143653328589
3.0,-0.9899924965681836
3.5,-0.9364566873914137
4.0,-0.653643615480115
4.5,-0.21079583901946447
5.0,0.2836621992374299
5.5,0.7086697726018851
6.0,0.9601702866597516
6.5,0.9765876247442922
7.0,0.7539022537846641
7.5,0.3466353233673963
8.0,-0.1455001416377984
8.5,-0.6020118887037154
9.0,-0.9111302624449817
9.5,-0.9971721561961746
