X,Sin(X)
-10.0,0.5440252263995163
-9.5,0.0751511003946568
-9.0,-0.4121189791148278
-8.5,-0.7984857599184939
-8.0,-0.9893594612137303
-7.5,-0.9379840756676506
-7.0,-0.6569864616708982
-6.5,-0.21511999255369432
-6.0,0.27941552714441154
-5.5,0.7055400217626632
-5.0,0.9589246596582796
-4.5,0.9775308372004625
-4.0,0.7568018025642618
-3.5,0.3507833781538162
-3.0,-0.14111953401979144
-2.5,-0.5984809729587005
-2.0,-0.9092884586393548
-1.5,-0.9974971226283482
-1.0,-0.841468253968254
-0.5,-0.47942708333333334
0.0,0.0
0.5,0.47942708333333334
1.0,0.841468253968254
1.5,0.9974971226283482
2.0,0.9092884586393548
2.5,0.5984809729587005
3.0,0.14111953401979144
3.5,-0.3507833781538162
4.0,-0.7568018025642618
4.5,-0.9775308372004625
5.0,-0.9589246596582796
5.5,-0.7055400217626632
6.0,-0.27941552714441154
6.5,0.21511999255369432
7.0,0.6569864616708982
7.5,0.9379840756676506
8.0,0.9893594612137303
8.5,0.7984857599184939
9.0,0.4121189791148278
9.5,-0.0751511003946568
